"feature_id","area","feature","user_story","expected_behaviour_based_on_code","evidence_source","test_case","status","pre_fix_result","errors_documented","fix_notes","post_fix_result","last_verified"
"F001","Routing","Catalog signal routing to app-development specialist","As a Qlik user with an app-development issue, I want matching request text to select the app-dev specialist so the agent loads the narrowest useful skill.","Signals such as set analysis, qvd, komment, and app-development capabilities return primary_skill qlik-sense-app-dev with catalog lookup, evidence hints, tools, risk, candidates, and availability.","scripts/qlik_master.py route_request; qlik-skill-catalog.yaml","test_routes_app_development_signal_to_app_dev_skill","Passed","Passed after test harness correction.","No product error found.","No product fix required.","Passed: py -m unittest discover -s tests -v","2026-06-25"
"F002","Routing","Catalog signal routing to diagnostic specialist","As a Qlik administrator with reload or QSEoW evidence, I want diagnostic prompts to route to the diagnostic tool with app-dev fallback so operational issues use the right workflow.","Signals such as reload failed, qseow, and reload task return primary_skill qlik-sense-diagnostic-tool, secondary_skills containing qlik-sense-app-dev, diagnostic risk, and evidence hints.","scripts/qlik_master.py route_request; qlik-skill-catalog.yaml","test_routes_diagnostic_signal_to_diagnostic_skill_with_fallback","Passed","Passed after test harness correction.","No product error found.","No product fix required.","Passed: py -m unittest discover -s tests -v","2026-06-25"
"F003","Routing","Default route for unclear Qlik requests","As an agent handling a vague Qlik request, I want a stable default to app development so the router still returns a usable specialist.","If no catalog signal matches, route_request defaults to qlik-sense-app-dev and explains that no specific signal matched.","scripts/qlik_master.py route_from_catalog; selected_route_payload","test_defaults_unclear_qlik_request_to_app_development","Passed","Passed after test harness correction.","No product error found.","No product fix required.","Passed: py -m unittest discover -s tests -v","2026-06-25"
"F004","Routing","Alias and capability matching","As a user referring to a skill by alias or capability, I want the router to recognize those terms so exact signal phrasing is not required.","Catalog aliases, display names, IDs, and capabilities are normalized and scored as route matches.","scripts/qlik_master.py score_catalog_entry","test_matches_aliases_and_capabilities","Passed","Passed after test harness correction.","No product error found.","No product fix required.","Passed: py -m unittest discover -s tests -v","2026-06-25"
"F005","Discovery","Local skill detection","As an agent, I want installed catalog skills detected from configured local roots so I know whether routing can proceed without installation.","detect returns each catalog entry with ready, partial, or missing status, installed path, available validation tools, and missing tools.","scripts/qlik_master.py detect; check_entry; references/source-registry.yaml","test_detect_lists_ready_installed_skills","Passed","Passed after test harness correction.","No product error found.","No product fix required.","Passed: py -m unittest discover -s tests -v","2026-06-25"
"F006","Discovery","Source listing","As an agent reviewing available Qlik sources, I want the catalog and local status summarized so I can explain available specialists.","list-sources returns catalog version, updated date, each entry ID, kind, display name, source repo, ref, local status, path, capabilities, tools, and routing signals.","scripts/qlik_master.py list_sources","test_list_sources_includes_catalog_and_local_status","Passed","Passed after test harness correction.","No product error found.","No product fix required.","Passed: py -m unittest discover -s tests -v","2026-06-25"
"F007","Install planning","Ready skill install plan","As an agent planning an install, I want already-ready skills to report no required action so I avoid unnecessary writes.","install-plan for a ready skill returns action none, source details, current ready status, approval requirements, setup commands, and validation commands.","scripts/qlik_master.py install_plan","test_install_plan_for_ready_skill_requires_no_action","Passed","Passed after test harness correction.","No product error found.","No product fix required.","Passed: py -m unittest discover -s tests -v","2026-06-25"
"F008","Install planning","Ready skill plan-only install UX","As an agent calling install-skill for a ready skill, I want an already-ready result so the output does not imply an install was planned.","install-skill for action none should return status already-ready and performed false.","scripts/qlik_master.py install_skill","test_install_skill_for_ready_skill_reports_already_ready","Passed","Failed: returned status planned for an already-ready skill.","UX error: output implied a plan was made even though install_plan action was none.","install_skill now returns status already-ready and performed false when install_plan action is none.","Passed: py -m unittest discover -s tests -v","2026-06-25"
"F009","Install planning","Missing skill install plan","As an agent missing a catalog skill, I want an install plan rather than an automatic install so approvals remain explicit.","install-plan for a missing skill returns action install, mode plan-only, source/ref/source_path, target path, setup/validation commands, and approval requirements.","scripts/qlik_master.py install_plan","test_install_plan_for_missing_skill_is_plan_only_install","Passed","Passed after test harness correction.","No product error found.","No product fix required.","Passed: py -m unittest discover -s tests -v","2026-06-25"
"F010","Install planning","Plan-only install does not write","As an agent invoking install-skill without execute, I want a plan-only response so no network, clone, or filesystem changes happen implicitly.","install-skill for a missing skill in plan-only mode returns status planned, performed false, and does not create the target directory.","scripts/qlik_master.py install_skill","test_install_skill_for_missing_skill_returns_plan_without_writing","Passed","Passed after test harness correction.","No product error found.","No product fix required.","Passed: py -m unittest discover -s tests -v","2026-06-25"
"F011","Install planning","Unknown skill refusal","As an agent given an undeclared skill ID, I want the install plan refused so prompt-supplied or unknown sources are not trusted.","install-plan for an ID not in the cached catalog returns action refuse with a reason that the skill is not declared.","scripts/qlik_master.py install_plan","test_unknown_skill_install_plan_is_refused","Passed","Passed after test harness correction.","No product error found.","No product fix required.","Passed: py -m unittest discover -s tests -v","2026-06-25"
"F012","CLI","Unknown check-skill CLI result","As a CLI user checking an unknown skill, I want a structured not-in-catalog response and a successful command exit so the result can be parsed.","check-skill unknown emits JSON with status not-in-catalog and exits 0.","scripts/qlik_master.py main","test_check_skill_reports_not_in_catalog_for_unknown_id","Passed","Passed after test harness correction.","No product error found.","No product fix required.","Passed: py -m unittest discover -s tests -v","2026-06-25"
"F013","Validation","Doctor validates registry, catalog, routes, and route tests","As a maintainer, I want doctor to validate the configured files and route expectations so changes fail fast before use.","doctor returns status ok with no errors when catalog schema, routing map references, and route tests all pass.","scripts/qlik_master.py doctor","test_doctor_validates_catalog_routing_map_and_route_tests","Passed","Passed after test harness correction.","No product error found.","No product fix required.","Passed: py -m unittest discover -s tests -v","2026-06-25"
"F014","Validation","Doctor reports route-test failures","As a maintainer, I want incorrect route expectations reported clearly so routing regressions are visible.","doctor returns status failed and an error containing the expected and actual primary skill when a route test fails.","scripts/qlik_master.py validate_routing_tests; doctor","test_doctor_reports_failed_route_tests","Passed","Passed after test harness correction.","No product error found.","No product fix required.","Passed: py -m unittest discover -s tests -v","2026-06-25"
"F015","Catalog sync","Catalog sync updates cached snapshot after validation","As a maintainer refreshing public sources, I want sync-catalog to fetch, validate, and update the cached catalog when valid.","sync-catalog reads public_catalog.url, parses fetched JSON-compatible YAML, validates required catalog fields, writes cached_snapshot, and reports updated metadata.","scripts/qlik_master.py sync_catalog; write_data_atomic","test_sync_catalog_fetches_valid_catalog_and_replaces_snapshot","Passed","Errored: PermissionError when Path.replace was blocked in the managed Windows workspace.","Logistical error: catalog sync depended on atomic replace being permitted even when normal file writes were allowed.","write_data_atomic now falls back to direct overwrite if atomic replace is denied, while keeping atomic replace as the normal path.","Passed: py -m unittest discover -s tests -v","2026-06-25"
"F016","Catalog sync","Catalog sync rejects invalid fetched catalog","As a maintainer refreshing sources, I want invalid fetched catalog data rejected so a bad remote file does not replace local routing data.","sync-catalog returns failed with validation errors when fetched data is missing required catalog fields.","scripts/qlik_master.py sync_catalog; validate_catalog","test_sync_catalog_rejects_invalid_fetched_catalog","Passed","Passed after test harness correction.","No product error found.","No product fix required.","Passed: py -m unittest discover -s tests -v","2026-06-25"
"F017","Validation","Validation command handling for file checks","As an installer validating a skill, I want plain file validation commands to check existence without executing documentation files.","run_command returns returncode 0 and exists output when the command is an existing file with no arguments.","scripts/qlik_master.py run_command","test_run_command_validates_existing_file_without_executing_it","Passed","Passed after test harness correction.","No product error found.","No product fix required.","Passed: py -m unittest discover -s tests -v","2026-06-25"
"F018","Install execution","Approved execute install workflow","As an agent with approval to install a catalog skill, I want install-skill --execute to clone the approved source, copy the declared source path, skip repository/cache folders, and validate the installed skill.","install-skill with execute true uses the catalog install plan, runs git clone into a temporary clone root, copies source contents to the target without .git or __pycache__, runs setup and validation commands, and returns installed when all commands pass.","scripts/qlik_master.py execute_install; copy_tree_contents; install_skill","test_execute_install_clones_copies_and_validates_approved_catalog_skill","Passed","Passed in mocked non-network execution path.","No product error found.","No product fix required.","Passed: py -m unittest discover -s tests -v","2026-06-25"
"F019","Routing","Qlik AI retrieval tooling routing","As an agent invoking Qlik retrieval tooling, I want explicit qlik-ai-skill, qlik_knowledge_search, MCP server, or tool-first retrieval prompts to route to qlik-ai-skill while ordinary Qlik app and diagnostic prompts keep their existing specialists.","Explicit retrieval/tooling signals return primary_skill qlik-ai-skill with qlik-sense-app-dev fallback and qlik knowledge CLI/MCP tools; general app-development and diagnostic prompts still route to qlik-sense-app-dev or qlik-sense-diagnostic-tool.","qlik-skill-catalog.yaml; references/routing-tests.yaml; scripts/qlik_master.py route_request","test_routes_retrieval_tooling_prompt_to_qlik_ai_skill; test_keeps_general_qlik_prompts_on_existing_specialists","Passed","Failed initially when a prompt containing qlik_knowledge_search and Set Analysis routed to qlik-sense-app-dev because Set Analysis scored higher.","Routing error: explicit retrieval tool invocation was not strong enough to beat overlapping Qlik topic terms.","Added explicit qlik_knowledge_search invocation phrases and MCP registration signals; added route and unit regression coverage.","Passed: py -m unittest discover -s tests -v; py scripts\qlik_master.py doctor","2026-06-25"
